index,carat,cut,color,clarity,depth,table,length (mm),width (mm),height (mm),year
28002,0.53,Very Good,F,VS1,60.6,57.0,5.21,5.25,3.17,2023
28003,0.53,Good,E,VS2,63.7,55.0,5.12,5.15,3.27,2023
28004,0.53,Very Good,E,VS2,58.3,62.0,5.26,5.31,3.08,2023
28005,0.53,Very Good,G,VS1,63.0,58.0,5.15,5.17,3.25,2023
28006,0.53,Ideal,E,VS2,62.0,55.0,5.17,5.21,3.22,2023
28007,0.53,Good,G,VS1,63.4,56.0,5.1,5.15,3.25,2023
28008,0.53,Ideal,E,VS2,60.9,59.0,5.17,5.21,3.16,2023
28009,0.53,Premium,H,VS1,60.5,57.0,5.34,5.27,3.21,2023
28010,0.53,Premium,H,VS1,62.3,58.0,5.17,5.13,3.21,2023
28011,0.53,Ideal,G,VS2,62.5,56.0,5.2,5.17,3.24,2023
28012,0.53,Premium,G,VS2,61.2,57.0,5.26,5.19,3.2,2023
28013,0.53,Ideal,G,VS2,60.4,57.0,5.27,5.23,3.17,2023
28014,0.53,Premium,G,VS2,62.5,56.0,5.19,5.18,3.24,2023
28015,0.53,Ideal,G,VS2,61.8,56.0,5.21,5.18,3.21,2023
28016,0.53,Premium,G,VS2,62.6,58.0,5.18,5.11,3.22,2023
28017,0.53,Premium,E,SI1,61.9,56.0,5.22,5.19,3.22,2023
28018,0.53,Ideal,E,SI1,61.6,56.0,5.23,5.19,3.21,2023
28019,0.53,Ideal,E,SI1,60.6,57.0,5.27,5.23,3.18,2023
28020,0.53,Ideal,E,SI1,62.0,56.0,5.19,5.17,3.21,2023
28021,0.53,Premium,E,SI1,60.0,60.0,5.27,5.24,3.21,2023
28022,0.53,Ideal,G,VS2,61.6,56.0,5.24,5.19,3.21,2023
28023,0.53,Ideal,G,VS2,60.1,54.0,5.31,5.3,3.19,2023
28024,0.5,Ideal,H,VVS2,60.3,58.0,5.14,5.21,3.12,2023
28025,0.57,Ideal,E,SI1,61.9,56.0,5.32,5.35,3.3,2023
28026,0.57,Ideal,G,VS2,61.8,57.0,5.3,5.32,3.28,2023
28027,0.57,Very Good,G,VS2,62.1,57.0,5.27,5.3,3.28,2023
28028,0.57,Ideal,G,VS2,61.6,57.0,5.32,5.36,3.29,2023
28029,0.56,Ideal,E,VS1,62.7,56.0,5.26,5.3,3.31,2023
28030,0.56,Ideal,D,SI1,62.5,56.0,5.24,5.28,3.29,2023
28031,0.56,Ideal,F,VS2,62.3,55.0,5.28,5.32,3.3,2023
28032,0.57,Premium,E,SI1,61.4,58.0,5.28,5.34,3.26,2023
28033,0.57,Ideal,I,VVS1,61.7,56.0,5.31,5.35,3.29,2023
28034,0.57,Ideal,E,SI1,61.8,57.0,5.28,5.33,3.28,2023
28035,0.57,Very Good,G,VS2,62.8,57.0,5.23,5.28,3.3,2023
28036,0.58,Very Good,E,VS2,60.3,57.0,5.41,5.44,3.27,2023
28037,0.51,Ideal,E,VS2,62.1,54.0,5.13,5.15,3.19,2023
28038,0.33,Premium,H,VS2,60.4,60.0,4.48,4.52,2.72,2023
28039,0.28,Very Good,G,VVS2,61.4,55.0,4.21,4.24,2.59,2023
28040,0.28,Ideal,H,VVS2,62.0,57.0,4.21,4.24,2.62,2023
28041,0.28,Ideal,G,VVS1,62.7,55.0,4.16,4.2,2.62,2023
28042,0.35,Ideal,G,SI1,61.3,56.0,4.54,4.56,2.79,2023
28043,0.29,Very Good,G,VVS1,62.0,58.0,4.19,4.23,2.61,2023
28044,0.35,Good,D,SI2,63.3,55.0,4.45,4.49,2.83,2023
28045,0.35,Ideal,D,SI2,61.8,57.0,4.53,4.57,2.81,2023
28046,0.35,Premium,D,SI2,60.8,58.0,4.51,4.57,2.76,2023
28047,0.35,Premium,D,SI2,62.3,58.0,4.48,4.54,2.81,2023
28048,0.35,Ideal,D,SI2,62.4,55.0,4.53,4.54,2.83,2023
28049,0.24,Ideal,I,VVS2,61.5,56.0,4.02,4.05,2.48,2023
28050,0.36,Ideal,I,VS2,61.6,55.0,4.6,4.65,2.85,2023
28051,0.32,Ideal,H,VS2,61.5,55.0,4.41,4.44,2.72,2023
28052,0.32,Ideal,H,VS2,61.3,56.0,4.42,4.45,2.72,2023
28053,0.55,Very Good,F,VS2,62.6,57.0,5.19,5.23,3.26,2023
28054,0.7,Very Good,J,SI2,63.6,56.0,5.57,5.63,3.56,2023
28055,0.66,Ideal,H,SI1,62.4,58.0,5.53,5.56,3.46,2023
28056,0.71,Ideal,J,SI1,62.6,57.0,5.7,5.65,3.55,2023
28057,0.53,Very Good,F,VS2,60.5,55.0,5.24,5.29,3.19,2023
28058,0.53,Ideal,D,VS2,60.2,55.0,5.26,5.3,3.18,2023
28059,0.5,Premium,D,SI1,62.3,58.0,5.08,5.07,3.16,2023
28060,0.5,Ideal,D,SI1,62.1,57.0,5.08,5.03,3.14,2023
28061,0.73,Good,I,SI2,63.7,57.0,5.76,5.67,3.63,2023
28062,0.73,Premium,G,SI2,61.2,56.0,5.76,5.67,3.5,2023
28063,0.51,Ideal,H,VVS2,60.1,57.0,5.19,5.22,3.12,2023
28064,0.55,Ideal,D,SI1,61.3,56.0,5.28,5.33,3.25,2023
28065,0.53,Very Good,E,VS2,60.1,60.0,5.21,5.28,3.15,2023
28066,0.51,Very Good,E,VS2,61.4,56.0,5.15,5.18,3.17,2023
28067,0.51,Very Good,E,VS2,62.8,56.0,5.11,5.14,3.22,2023
28068,0.56,Ideal,H,SI1,61.6,56.0,5.29,5.33,3.27,2023
28069,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2023
28070,0.57,Ideal,G,VS2,60.7,55.0,5.41,5.39,3.28,2023
28071,0.54,Ideal,E,VS2,61.3,55.0,5.24,5.26,3.22,2023
28072,0.6,Ideal,E,SI1,60.6,57.0,5.43,5.47,3.3,2023
28073,0.5,Good,F,VS1,61.4,61.0,5.03,5.04,3.09,2023
28074,0.5,Good,F,VS1,61.5,61.0,5.01,5.07,3.1,2023
28075,0.57,Good,G,VS2,64.1,55.0,5.28,5.27,3.38,2023
28076,0.57,Premium,H,VS1,61.7,58.0,5.33,5.3,3.28,2023
28077,0.57,Ideal,E,SI1,61.9,56.0,5.33,5.3,3.29,2023
28078,0.57,Ideal,E,SI1,61.2,57.0,5.37,5.32,3.27,2023
28079,0.57,Ideal,E,SI1,62.2,55.0,5.37,5.31,3.32,2023
28080,0.56,Very Good,F,VS2,62.0,56.0,5.2,5.22,3.23,2023
28081,0.61,Premium,D,SI1,61.6,58.0,5.37,5.34,3.3,2023
28082,0.51,Premium,E,VS2,60.6,60.0,5.2,5.19,3.15,2023
28083,0.5,Ideal,E,VS2,61.4,55.0,5.13,5.16,3.16,2023
28084,0.61,Premium,I,VS1,60.0,61.0,5.53,5.5,3.31,2023
28085,0.62,Very Good,I,VVS2,61.3,58.8,5.48,5.52,3.37,2023
28086,0.62,Ideal,I,VVS2,62.6,57.0,5.47,5.5,3.44,2023
28087,0.5,Good,F,VS2,62.9,54.9,5.08,5.12,3.21,2023
28088,0.53,Ideal,G,VS2,61.4,55.0,5.23,5.26,3.22,2023
28089,0.54,Ideal,F,VS2,61.0,56.0,5.27,5.32,3.23,2023
28090,0.48,Ideal,G,VS1,61.9,55.0,5.02,5.06,3.12,2023
28091,0.47,Very Good,F,VVS2,62.1,56.0,4.96,4.99,3.09,2023
28092,0.48,Very Good,E,VS1,59.1,62.0,5.14,5.18,3.05,2023
28093,0.51,Very Good,D,VS1,58.8,60.0,5.18,5.26,3.07,2023
28094,0.56,Ideal,I,VVS1,61.5,55.0,5.33,5.37,3.29,2023
28095,0.56,Ideal,H,VS1,61.8,55.0,5.3,5.34,3.29,2023
28096,0.5,Ideal,E,SI1,61.8,56.0,5.11,5.07,3.14,2023
28097,0.47,Ideal,G,VVS2,62.2,53.0,5.0,5.04,3.12,2023
28098,0.62,Ideal,H,SI1,61.4,56.0,5.51,5.49,3.38,2023
28099,0.53,Ideal,F,VS1,61.6,55.0,5.21,5.24,3.22,2023
28100,0.7,Very Good,J,SI1,62.0,56.0,5.66,5.72,3.53,2023
28101,0.56,Ideal,F,VS2,60.8,57.0,5.35,5.42,3.28,2023
28102,0.5,Ideal,E,VS1,62.2,56.0,5.1,5.13,3.18,2023
28103,0.54,Ideal,F,VS2,62.0,55.0,5.26,5.23,3.25,2023
28104,0.54,Good,D,SI1,64.1,55.0,5.15,5.11,3.29,2023
28105,0.51,Ideal,F,VS2,59.2,56.0,5.23,5.18,3.08,2023
28106,0.51,Premium,D,SI1,62.2,58.0,5.13,5.06,3.17,2023
28107,0.51,Ideal,D,SI1,62.6,57.0,5.11,5.08,3.19,2023
28108,0.51,Ideal,F,VS2,61.0,57.0,5.16,5.11,3.13,2023
28109,0.51,Ideal,F,VS2,62.8,57.0,5.1,5.06,3.19,2023
28110,0.59,Very Good,D,SI1,62.9,58.0,5.31,5.34,3.35,2023
28111,0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,2023
28112,0.52,Very Good,E,VS2,62.8,55.0,5.11,5.15,3.22,2023
28113,0.52,Very Good,G,VS1,59.5,58.0,5.21,5.28,3.12,2023
28114,0.55,Ideal,E,SI1,60.1,57.0,5.36,5.38,3.22,2023
28115,0.53,Ideal,D,SI1,61.6,56.0,5.2,5.23,3.21,2023
28116,0.41,Ideal,F,IF,61.1,58.0,4.82,4.84,2.95,2023
28117,0.42,Ideal,D,VVS1,61.8,55.0,4.85,4.83,2.99,2023
28118,0.42,Ideal,D,VVS1,62.8,56.0,4.8,4.76,3.0,2023
28119,0.42,Ideal,D,VVS1,61.6,56.0,4.82,4.79,2.96,2023
28120,0.42,Ideal,D,VVS1,61.8,56.0,4.82,4.79,2.97,2023
28121,0.54,Ideal,F,VS2,62.8,57.0,5.25,5.2,3.28,2023
28122,0.7,Premium,H,I1,60.0,59.0,5.8,5.77,3.47,2023
28123,0.61,Very Good,D,SI1,62.4,59.0,5.42,5.45,3.39,2023
28124,0.56,Ideal,I,VVS1,61.1,55.0,5.33,5.35,3.26,2023
28125,0.56,Premium,I,VVS1,60.6,59.0,5.29,5.33,3.22,2023
28126,0.59,Very Good,F,VS2,62.9,55.0,5.32,5.39,3.37,2023
28127,0.52,Premium,E,VS2,60.6,58.0,5.23,5.2,3.16,2023
28128,0.52,Premium,G,VS1,59.1,60.0,5.24,5.19,3.08,2023
28129,0.59,Very Good,G,VS2,62.8,59.0,5.28,5.33,3.33,2023
28130,0.51,Ideal,D,VS2,61.8,54.0,5.12,5.17,3.18,2023
28131,0.5,Very Good,E,VS2,61.2,63.0,5.14,5.09,3.13,2023
28132,0.5,Ideal,D,SI1,61.7,56.0,5.16,5.11,3.17,2023
28133,0.62,Very Good,E,SI2,58.8,63.0,5.58,5.61,3.29,2023
28134,0.5,Premium,E,VS2,61.3,60.0,5.07,5.11,3.12,2023
28135,0.5,Premium,E,VS2,61.4,58.0,5.07,5.12,3.13,2023
28136,0.5,Premium,E,VS2,61.8,58.0,5.07,5.09,3.14,2023
28137,0.5,Very Good,E,VS2,61.4,59.0,5.09,5.13,3.14,2023
28138,0.5,Ideal,E,VS2,62.2,54.0,5.08,5.11,3.17,2023
28139,0.5,Very Good,E,VS2,61.1,61.0,5.11,5.13,3.13,2023
28140,0.5,Very Good,E,VS2,62.8,57.0,5.04,5.12,3.19,2023
28141,0.5,Ideal,E,VS2,61.8,55.0,5.06,5.11,3.14,2023
28142,0.5,Very Good,E,VS2,61.5,56.0,5.07,5.11,3.13,2023
28143,0.5,Very Good,E,VS2,62.7,54.0,5.07,5.1,3.19,2023
28144,0.5,Premium,E,VS2,62.3,60.0,5.05,5.09,3.16,2023
28145,0.5,Very Good,E,VS2,61.8,58.0,5.05,5.11,3.14,2023
28146,0.5,Premium,G,VS1,62.2,59.0,5.04,5.09,3.15,2023
28147,0.5,Very Good,E,VS2,61.3,59.0,5.05,5.1,3.11,2023
28148,0.5,Premium,G,VS1,60.7,60.0,5.09,5.12,3.1,2023
28149,0.5,Premium,G,VS1,59.9,59.0,5.12,5.16,3.08,2023
28150,0.5,Very Good,G,VS1,61.0,59.0,5.09,5.14,3.12,2023
28151,0.5,Ideal,E,VS2,61.3,57.0,5.13,5.15,3.15,2023
28152,0.5,Ideal,G,VS1,62.0,55.0,5.05,5.11,3.15,2023
28153,0.5,Ideal,E,VS2,62.6,54.0,5.08,5.11,3.19,2023
28154,0.5,Premium,G,VS1,62.5,58.0,5.07,5.11,3.18,2023
28155,0.5,Ideal,E,VS2,61.6,55.0,5.09,5.14,3.15,2023
28156,0.5,Very Good,G,VS1,62.1,55.0,5.06,5.22,3.19,2023
28157,0.5,Premium,G,VS1,62.5,60.0,5.06,5.08,3.17,2023
28158,0.55,Good,F,VS2,58.2,58.0,5.42,5.46,3.16,2023
28159,0.52,Ideal,F,SI1,62.0,54.0,5.19,5.16,3.21,2023
28160,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,2023
28161,0.51,Premium,E,SI1,61.3,59.0,5.15,5.13,3.15,2023
28162,0.51,Good,E,SI1,64.3,55.0,5.12,5.05,3.27,2023
28163,0.52,Very Good,E,VS2,61.5,58.0,5.18,5.24,3.2,2023
28164,0.6,Premium,E,SI1,60.8,58.0,5.46,5.5,3.33,2023
28165,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2023
28166,0.52,Ideal,H,VVS1,61.7,56.0,5.17,5.2,3.19,2023
28167,0.42,Ideal,H,VVS1,61.3,56.0,4.83,4.86,2.97,2023
28168,0.53,Ideal,G,VS2,61.0,55.0,5.23,5.24,3.2,2023
28169,0.52,Ideal,F,VS2,61.2,56.0,5.19,5.37,3.2,2023
28170,0.53,Good,D,VS2,58.4,58.0,5.31,5.38,3.12,2023
28171,0.5,Ideal,H,VS2,61.7,55.0,5.11,5.14,3.16,2023
28172,0.5,Ideal,H,VS2,61.5,56.0,5.11,5.13,3.15,2023
28173,0.56,Very Good,F,VS2,60.0,57.0,5.34,5.39,3.22,2023
28174,0.5,Very Good,D,VS2,63.4,57.0,5.05,5.08,3.21,2023
28175,0.51,Very Good,F,VS1,63.3,57.0,5.06,5.09,3.21,2023
28176,0.51,Premium,F,VS1,60.7,59.0,5.11,5.13,3.11,2023
28177,0.54,Premium,D,VS2,61.6,56.0,5.24,5.18,3.21,2023
28178,0.51,Very Good,H,VS1,62.3,56.0,5.1,5.13,3.18,2023
28179,0.51,Very Good,H,VS1,60.7,56.0,5.16,5.2,3.15,2023
28180,0.5,Very Good,D,VS2,61.2,56.0,5.14,5.16,3.15,2023
28181,0.63,Ideal,G,SI1,61.7,54.0,5.52,5.56,3.42,2023
28182,0.55,Very Good,E,VS2,61.7,59.0,5.2,5.27,3.23,2023
28183,0.64,Very Good,D,SI2,62.8,54.0,5.5,5.52,3.46,2023
28184,0.52,Ideal,F,VS2,62.5,56.0,5.12,5.16,3.21,2023
28185,0.52,Ideal,D,VS2,61.9,54.0,5.13,5.18,3.19,2023
28186,0.52,Ideal,G,VS1,62.3,54.0,5.15,5.18,3.22,2023
28187,0.5,Premium,E,VS2,62.9,60.0,5.04,5.01,3.16,2023
28188,0.5,Premium,G,VS1,58.9,59.0,5.21,5.15,3.05,2023
28189,0.5,Premium,G,VS1,61.1,60.0,5.1,5.05,3.1,2023
28190,0.5,Premium,G,VS1,60.7,62.0,5.1,5.08,3.09,2023
28191,0.5,Premium,G,VS1,60.3,60.0,5.1,5.08,3.07,2023
28192,0.5,Ideal,E,VS2,62.2,56.0,5.12,5.11,3.18,2023
28193,0.5,Premium,E,VS2,61.8,59.0,5.12,5.08,3.15,2023
28194,0.5,Ideal,E,VS2,63.0,54.0,5.09,5.04,3.19,2023
28195,0.5,Very Good,E,VS2,63.4,58.0,5.06,5.04,3.2,2023
28196,0.5,Very Good,E,VS2,63.2,57.0,5.06,5.03,3.19,2023
28197,0.5,Ideal,E,VS2,63.0,57.0,5.04,4.99,3.16,2023
28198,0.5,Premium,E,VS2,62.6,60.0,5.03,5.0,3.14,2023
28199,0.55,Premium,E,SI1,62.4,57.6,5.23,5.28,3.27,2023
28200,0.54,Ideal,H,VS1,61.6,59.0,5.22,5.24,3.22,2023
28201,0.53,Ideal,F,VS1,61.7,56.0,5.2,5.22,3.21,2023
28202,0.59,Ideal,E,SI1,62.2,57.0,5.34,5.37,3.33,2023
28203,0.53,Very Good,D,SI1,61.4,57.0,5.2,5.26,3.21,2023
28204,0.53,Ideal,D,SI1,62.0,55.0,5.22,5.24,3.24,2023
28205,0.53,Ideal,F,VS2,61.8,55.0,5.19,5.23,3.22,2023
28206,0.53,Ideal,F,VS2,61.5,55.0,5.2,5.27,3.22,2023
28207,0.53,Premium,D,SI1,61.0,58.0,5.18,5.22,3.17,2023
28208,0.53,Ideal,F,VS2,61.1,56.0,5.22,5.26,3.2,2023
28209,0.53,Ideal,D,SI1,62.2,56.0,5.19,5.23,3.24,2023
28210,0.53,Premium,F,VS2,61.4,60.0,5.18,5.21,3.19,2023
28211,0.53,Ideal,D,SI1,61.7,56.0,5.15,5.23,3.2,2023
28212,0.56,Ideal,G,SI1,62.0,57.0,5.25,5.27,3.26,2023
28213,0.73,Fair,F,SI2,64.7,56.0,5.6,5.53,3.6,2023
28214,0.74,Very Good,E,SI2,63.3,59.0,5.82,5.78,3.67,2023
28215,0.5,Ideal,F,VS2,61.4,57.0,5.16,5.13,3.16,2023
28216,0.58,Ideal,G,VS2,62.3,53.7,5.35,5.38,3.34,2023
28217,0.51,Ideal,G,VS1,60.2,57.0,5.16,5.21,3.13,2023
28218,0.51,Ideal,G,VS1,59.0,59.0,5.25,5.28,3.11,2023
28219,0.5,Very Good,D,VS2,63.2,60.0,5.04,5.02,3.18,2023
28220,0.57,Very Good,G,VS2,59.9,54.6,5.43,5.46,3.26,2023
28221,0.51,Very Good,D,VS2,63.2,60.0,5.04,5.06,3.19,2023
28222,0.51,Ideal,D,VS2,61.7,56.0,5.12,5.15,3.17,2023
28223,0.59,Ideal,E,SI1,61.7,56.0,5.35,5.45,3.33,2023
28224,0.68,Fair,G,SI1,58.0,71.0,5.85,5.7,3.35,2023
28225,0.62,Premium,F,SI1,61.3,60.0,5.48,5.45,3.35,2023
28226,0.51,Very Good,E,VS1,64.4,55.0,5.03,5.07,3.25,2023
28227,0.55,Ideal,G,VS2,60.1,55.0,5.33,5.37,3.22,2023
28228,0.58,Premium,F,SI1,61.0,57.0,5.41,5.34,3.28,2023
28229,0.5,Good,D,VS2,63.3,54.0,5.04,5.07,3.2,2023
28230,0.5,Good,D,VS2,63.7,56.0,5.05,5.09,3.23,2023
28231,0.53,Very Good,G,VS1,60.9,56.0,5.24,5.27,3.2,2023
28232,0.51,Ideal,E,VS1,62.7,56.0,5.1,5.14,3.21,2023
28233,0.58,Ideal,E,SI1,61.5,55.0,5.34,5.39,3.3,2023
28234,0.58,Ideal,E,SI1,61.6,55.0,5.33,5.38,3.3,2023
28235,0.58,Ideal,G,VS2,61.9,56.0,5.34,5.38,3.32,2023
28236,0.58,Premium,I,VVS1,62.6,59.0,5.27,5.31,3.31,2023
28237,0.53,Premium,F,VS2,62.1,58.0,5.21,5.16,3.22,2023
28238,0.69,Premium,I,SI1,62.0,59.0,5.66,5.63,3.5,2023
28239,0.53,Very Good,D,SI1,63.4,58.0,5.15,5.11,3.25,2023
28240,0.54,Ideal,G,VS1,62.2,56.0,5.19,5.23,3.24,2023
28241,0.32,Ideal,H,VS2,60.8,56.0,4.46,4.49,2.72,2023
28242,0.32,Ideal,H,VS2,61.2,56.0,4.42,4.44,2.71,2023
28243,0.32,Ideal,I,VS1,62.4,54.0,4.38,4.4,2.74,2023
28244,0.32,Ideal,I,VS1,60.9,57.0,4.43,4.47,2.71,2023
28245,0.32,Ideal,I,VS1,61.3,56.0,4.43,4.45,2.72,2023
28246,0.35,Ideal,H,SI1,60.8,56.0,4.58,4.6,2.79,2023
28247,0.31,Premium,G,SI2,61.8,59.0,4.34,4.3,2.67,2023
28248,0.31,Premium,G,SI2,62.3,57.0,4.37,4.33,2.71,2023
28249,0.31,Ideal,G,SI2,60.5,57.0,4.4,4.36,2.65,2023
28250,0.31,Premium,G,SI2,61.3,58.0,4.4,4.37,2.69,2023
28251,0.31,Premium,J,VS1,61.8,59.0,4.33,4.31,2.67,2023
28252,0.31,Premium,J,VS1,60.7,60.0,4.39,4.34,2.65,2023
28253,0.31,Very Good,I,SI1,63.3,53.0,4.32,4.3,2.73,2023
28254,0.31,Very Good,I,SI1,63.5,56.0,4.32,4.28,2.73,2023
28255,0.57,Ideal,F,VS2,62.3,55.0,5.3,5.36,3.32,2023
28256,0.57,Very Good,F,VS2,62.0,54.0,5.31,5.34,3.3,2023
28257,0.57,Ideal,F,VS2,59.2,57.0,5.45,5.5,3.24,2023
28258,0.54,Good,E,VS2,63.1,58.0,5.13,5.21,3.26,2023
28259,0.54,Very Good,E,VS2,60.7,56.0,5.29,5.32,3.22,2023
28260,0.46,Ideal,D,VS1,62.6,56.0,4.92,4.95,3.09,2023
28261,0.5,Ideal,H,VS1,61.1,56.0,5.1,5.14,3.13,2023
28262,0.54,Premium,H,VS1,61.3,58.0,5.25,5.22,3.21,2023
28263,0.54,Ideal,G,VS2,61.9,57.0,5.23,5.18,3.22,2023
28264,0.54,Premium,H,VS1,61.9,56.0,5.29,5.24,3.26,2023
28265,0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,2023
28266,0.54,Ideal,H,VS1,61.9,56.0,5.24,5.2,3.23,2023
28267,0.54,Premium,H,VS1,62.4,55.0,5.25,5.2,3.26,2023
28268,0.54,Ideal,H,VS1,62.7,57.0,5.23,5.17,3.26,2023
28269,0.54,Ideal,H,VS1,61.5,56.0,5.24,5.23,3.22,2023
28270,0.54,Premium,G,VS2,60.0,59.0,5.42,5.22,3.19,2023
28271,0.54,Ideal,G,VS2,60.4,57.0,5.33,5.26,3.2,2023
28272,0.54,Premium,G,VS2,62.7,58.0,5.19,5.15,3.24,2023
28273,0.54,Premium,G,VS2,61.0,60.0,5.24,5.18,3.18,2023
28274,0.54,Ideal,E,SI1,60.5,57.0,5.3,5.28,3.2,2023
28275,0.54,Ideal,E,SI1,61.5,57.0,5.25,5.22,3.22,2023
28276,0.54,Ideal,E,SI1,62.1,56.0,5.24,5.19,3.24,2023
28277,0.54,Premium,G,VS2,58.7,62.0,5.36,5.34,3.14,2023
28278,0.54,Good,G,VS2,56.9,62.0,5.42,5.4,3.08,2023
28279,0.54,Premium,E,SI1,61.6,61.0,5.23,5.2,3.21,2023
28280,0.96,Fair,H,I1,61.5,63.0,6.22,6.06,3.78,2023
28281,0.51,Very Good,E,VS2,63.3,55.0,5.12,5.09,3.23,2023
28282,0.52,Ideal,H,VVS1,60.7,57.0,5.23,5.25,3.18,2023
28283,0.53,Ideal,F,SI1,61.9,55.0,5.19,5.21,3.22,2023
28284,0.63,Very Good,H,VS2,61.2,59.2,5.48,5.51,3.36,2023
28285,0.51,Very Good,E,VS2,61.8,58.0,5.13,5.07,3.15,2023
28286,0.54,Good,G,VS1,59.0,62.0,5.3,5.28,3.12,2023
28287,0.52,Very Good,E,VS2,63.0,58.0,5.07,5.12,3.21,2023
28288,0.58,Ideal,G,VS2,61.1,55.0,5.45,5.42,3.32,2023
28289,0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,2023
28290,0.58,Premium,E,SI1,60.7,61.0,5.47,5.27,3.28,2023
28291,0.53,Very Good,G,VS1,63.1,56.0,5.12,5.15,3.24,2023
28292,0.57,Ideal,G,VS2,60.2,59.0,5.38,5.42,3.25,2023
28293,0.57,Good,F,VS2,62.8,62.0,5.22,5.25,3.29,2023
28294,0.51,Premium,D,SI1,61.9,60.0,5.15,5.12,3.18,2023
28295,0.55,Ideal,E,VS2,59.3,57.0,5.39,5.43,3.21,2023
28296,0.71,Very Good,J,SI1,60.7,58.0,5.78,5.81,3.52,2023
28297,0.51,Ideal,D,VS2,60.5,56.0,5.2,5.21,3.15,2023
28298,0.52,Ideal,E,VS2,61.5,56.0,5.14,5.17,3.17,2023
28299,0.52,Ideal,E,VS2,61.3,55.0,5.19,5.22,3.19,2023
28300,0.52,Ideal,E,VS2,61.0,57.0,5.19,5.21,3.17,2023
28301,0.54,Good,D,VS2,60.9,60.0,5.28,5.36,3.24,2023
28302,0.57,Premium,E,VS2,62.5,55.0,5.33,5.27,3.31,2023
28303,0.55,Ideal,D,VS2,61.0,56.0,5.28,5.31,3.23,2023
28304,0.5,Good,G,VS1,59.8,63.0,5.12,5.15,3.07,2023
28305,0.55,Premium,G,VS2,61.5,61.0,5.27,5.23,3.23,2023
28306,0.5,Very Good,D,VS2,63.4,58.0,5.04,5.06,3.2,2023
28307,0.5,Very Good,D,VS2,61.1,58.0,5.07,5.11,3.11,2023
28308,0.52,Ideal,E,VS2,61.3,54.0,5.21,5.2,3.19,2023
28309,0.6,Ideal,F,SI1,61.5,58.0,5.38,5.41,3.32,2023
28310,0.59,Ideal,D,SI1,62.5,55.0,5.4,5.42,3.38,2023
28311,0.64,Good,F,SI1,57.9,64.0,5.76,5.65,3.3,2023
28312,0.6,Premium,G,SI1,61.9,61.0,5.38,5.34,3.32,2023
28313,0.6,Premium,G,SI1,61.8,60.0,5.38,5.37,3.32,2023
28314,0.53,Very Good,E,VS2,59.1,60.0,5.3,5.26,3.12,2023
28315,0.54,Ideal,I,IF,61.6,53.0,5.26,5.3,3.25,2023
28316,0.53,Very Good,G,VS1,62.3,55.0,5.15,5.18,3.22,2023
28317,0.53,Very Good,G,VS1,61.2,57.0,5.22,5.26,3.2,2023
28318,0.5,Ideal,H,VVS1,61.9,54.0,5.13,5.14,3.18,2023
28319,0.52,Ideal,H,VS1,61.1,57.0,5.17,5.22,3.17,2023
28320,0.59,Ideal,H,VS2,62.2,59.0,5.38,5.34,3.33,2023
28321,0.5,Ideal,E,VS1,62.5,57.0,4.99,5.05,3.14,2023
28322,0.56,Ideal,E,SI1,61.6,55.0,5.31,5.33,3.28,2023
28323,0.54,Very Good,D,SI1,60.3,61.0,5.26,5.29,3.18,2023
28324,0.53,Ideal,F,VS2,62.2,55.0,5.16,5.19,3.22,2023
28325,0.54,Ideal,D,SI1,61.7,55.0,5.23,5.27,3.24,2023
28326,0.7,Premium,G,I1,61.9,58.0,5.74,5.69,3.54,2023
28327,0.71,Good,I,SI1,60.0,64.0,5.71,5.79,3.45,2023
28328,0.52,Ideal,E,VS2,61.0,55.0,5.2,5.26,3.19,2023
28329,0.52,Ideal,D,SI1,62.5,56.0,5.19,5.14,3.23,2023
28330,0.52,Premium,F,VS2,60.0,57.0,5.24,5.22,3.14,2023
28331,0.52,Premium,D,SI1,61.5,55.0,5.21,5.19,3.2,2023
28332,0.59,Very Good,E,SI1,62.9,58.0,5.31,5.34,3.35,2023
28333,0.51,Ideal,G,VS1,62.3,53.5,5.09,5.14,3.19,2023
28334,0.62,Ideal,H,VS2,62.8,57.0,5.43,5.4,3.4,2023
28335,0.52,Very Good,E,VS2,62.5,58.0,5.13,5.18,3.22,2023
28336,0.56,Premium,H,VS1,59.8,62.0,5.36,5.31,3.19,2023
28337,0.5,Ideal,D,VS2,62.4,55.0,5.09,5.1,3.18,2023
28338,0.56,Premium,E,SI1,62.5,59.0,5.24,5.2,3.26,2023
28339,0.53,Ideal,I,IF,62.1,55.0,5.18,5.22,3.23,2023
28340,0.57,Very Good,E,VS2,63.0,59.0,5.25,5.29,3.32,2023
28341,0.56,Premium,F,VS2,59.6,58.0,5.34,5.36,3.19,2023
28342,0.5,Ideal,F,VS2,61.6,53.0,5.13,5.09,3.15,2023
28343,0.5,Premium,F,VS2,61.1,60.0,5.12,5.1,3.12,2023
28344,0.5,Premium,F,VS2,62.4,60.0,5.08,5.05,3.16,2023
